Dataset,Model,RMSE,MAE,MAPE
DJI.xlsx,Persistence,342.03434049118044,256.0208463022908,0.06047535450348687
DJI.xlsx,SVR,390.3626664420264,317.5898626939115,0.009492239623962884
DJI.xlsx,ARIMA,5098.0504010160475,4783.131260478339,0.14039293151410492
DJI.xlsx,LSTM,10347.36458317052,10255.449584875278,0.30493027916089155
DJI.xlsx,GRU,9568.678618489877,9485.546824328583,0.28206511599561757
DJI.xlsx,TCN,16380.03660155879,16286.137270169214,0.48493590662610553
DJI.xlsx,RVFL,864.1187622910443,777.2495685119021,0.022847650993205404
DJI.xlsx,edRVFL,613.0930758486921,514.2169392503298,0.015222955767415489
DJI.xlsx,edESN,1823.419013169128,1693.5841335300158,0.049716459143465924
DJI.xlsx,VMD-LSTM,8379.375061104256,8297.446452568727,0.24663985256042914
DJI.xlsx,EWTRVFL,869.9337655413848,780.9431899117002,0.02294491333505213
DJI.xlsx,EWTedRVFL,846.7972226130308,759.7983099270027,0.022335309655945046
DJI.xlsx,RedRVFL,373.8174879678006,289.1328595415975,0.008740864783741725
HSI.xlsx,Persistence,373.4194866755579,280.5838690173116,0.20427676250151997
HSI.xlsx,SVR,384.132514711125,293.96228086745,0.013087059291064069
HSI.xlsx,ARIMA,5943.266925512274,4796.347201070291,0.23589131562541377
HSI.xlsx,LSTM,3338.023640506355,2848.5225582132675,0.1301674847511607
HSI.xlsx,GRU,3017.915669471834,2573.1616536303195,0.11788848445433313
HSI.xlsx,TCN,7991.4085886524435,6809.6497669041855,0.2651178217431253
HSI.xlsx,RVFL,377.4813427617346,286.38317801309665,0.012665041346552516
HSI.xlsx,edRVFL,404.5151791985256,299.2613125016641,0.013379972291980752
HSI.xlsx,edESN,540.2528949993687,344.1196385867732,0.016116192356363013
HSI.xlsx,VMD-LSTM,3504.5259067647567,3004.568428813324,0.13580734030388547
HSI.xlsx,EWTRVFL,378.393976811407,288.838829500092,0.012794167586798256
HSI.xlsx,EWTedRVFL,388.6678521287575,293.9224783151351,0.01303475509585883
HSI.xlsx,RedRVFL,380.1361742028071,287.7241538519864,0.012680233951799388
KOSPI.xlsx,Persistence,30.48104802994725,23.82116300621811,0.13945359151078573
KOSPI.xlsx,SVR,86.04239953535394,66.34164442469054,0.022064879238895548
KOSPI.xlsx,ARIMA,746.0205552502864,666.661742348133,0.22518401927249487
KOSPI.xlsx,LSTM,686.4897208147487,622.5985620167627,0.21135729826558303
KOSPI.xlsx,GRU,79.96643571034097,66.8752722660863,0.0234514987230692
KOSPI.xlsx,TCN,841.5280355972551,756.7987508311361,0.2562140826978617
KOSPI.xlsx,RVFL,77.50232364338746,62.082823696547635,0.020772367788632683
KOSPI.xlsx,edRVFL,76.24512326379882,61.536084295884656,0.02065848418745732
KOSPI.xlsx,edESN,119.48776974678728,93.85606229905397,0.030977787937081974
KOSPI.xlsx,VMD-LSTM,732.3479543250421,668.875469179265,0.22762324126965694
KOSPI.xlsx,EWTRVFL,75.90445650189902,60.80570467143445,0.020364359582276767
KOSPI.xlsx,EWTedRVFL,105.79215280732318,82.28966948690626,0.02722076865518237
KOSPI.xlsx,RedRVFL,32.09478356476249,25.487348304136923,0.009190743294629544
LSE.xlsx,Persistence,66.4234672028556,47.34544542100694,0.04473933106148472
LSE.xlsx,SVR,66.4876548235073,47.87980236003034,0.006689206923590227
LSE.xlsx,ARIMA,512.2569092348763,429.4799200154023,0.061486511153847054
LSE.xlsx,LSTM,325.15950443056295,281.9067051049635,0.038551674766273615
LSE.xlsx,GRU,379.82941722738565,335.01275322470786,0.045814743136060786
LSE.xlsx,TCN,1646.565816900658,1626.2353320003,0.22549211081464496
LSE.xlsx,RVFL,66.4025795665436,47.77877331690399,0.006674045456204686
LSE.xlsx,edRVFL,66.3442421266418,47.78990660010578,0.006681389099091893
LSE.xlsx,edESN,66.52470052445105,47.7827693631052,0.006671756137894772
LSE.xlsx,VMD-LSTM,321.66661299594125,279.1290456875093,0.03817244749652964
LSE.xlsx,EWTRVFL,66.36940003565698,47.765245880331825,0.006672777837246249
LSE.xlsx,EWTedRVFL,65.69008634260304,47.014160739665314,0.006568066581373165
LSE.xlsx,RedRVFL,66.20930218427642,47.40138331490574,0.006619685039062181
NASDAQ.xlsx,Persistence,207.57398386112408,159.16361312562256,0.13732543084168125
NASDAQ.xlsx,SVR,781.5003380931628,649.7813674367335,0.04598924940598325
NASDAQ.xlsx,ARIMA,4510.95841558551,4234.706240250565,0.3084325705595634
NASDAQ.xlsx,LSTM,6590.29683133891,6453.942868802509,0.4796979996205625
NASDAQ.xlsx,GRU,4190.553150508312,4100.9815439172235,0.3047559451523679
NASDAQ.xlsx,TCN,7603.872804609095,7480.602003224245,0.5576944857814675
NASDAQ.xlsx,RVFL,1186.5526024052156,1060.3869560636847,0.07615445042179382
NASDAQ.xlsx,edRVFL,694.4582662431061,582.9074297015054,0.04217148865757326
NASDAQ.xlsx,edESN,1546.205339887413,1382.0362355247182,0.09915409409171867
NASDAQ.xlsx,VMD-LSTM,5545.19183215732,5431.736888760629,0.40380480770033433
NASDAQ.xlsx,EWTRVFL,1174.0984706516915,1043.4166087632855,0.07481125292622523
NASDAQ.xlsx,EWTedRVFL,1308.863980067136,1177.2232840412455,0.08478421116205918
NASDAQ.xlsx,RedRVFL,246.60755986237632,198.03655102306115,0.01533250109173038
NIFTY50.xlsx,Persistence,170.75833923994134,129.63633132029653,0.08454403260966999
NIFTY50.xlsx,SVR,738.9865833974867,642.7876976572451,0.037292772676745314
NIFTY50.xlsx,ARIMA,4482.060305694034,4314.117477198379,0.2546891901471263
NIFTY50.xlsx,LSTM,6774.5160234451305,6701.265245137191,0.39968594531635254
NIFTY50.xlsx,GRU,5924.830874655846,5857.675602992558,0.3492807145063431
NIFTY50.xlsx,TCN,8114.287288754924,8028.684954185458,0.47893066996438355
NIFTY50.xlsx,RVFL,767.0534796202704,702.5289239721288,0.0411214522902579
NIFTY50.xlsx,edRVFL,666.5542602347111,585.7611581996192,0.03420659524679687
NIFTY50.xlsx,edESN,1644.8741942584775,1535.2166275811203,0.08998620219748575
NIFTY50.xlsx,VMD-LSTM,5474.54648900746,5403.0418177700785,0.3218973894899632
NIFTY50.xlsx,EWTRVFL,935.2410641152624,865.5493486763606,0.050711554306733304
NIFTY50.xlsx,EWTedRVFL,300.8785848259934,229.32737190616226,0.013919596075721569
NIFTY50.xlsx,RedRVFL,194.48509988528244,152.3649870010972,0.009233404657575101
NYSE.xlsx,Persistence,168.7356083915272,129.3930878050299,0.06650962898897093
NYSE.xlsx,SVR,767.7856253175513,672.3909512368152,0.041252820046274945
NYSE.xlsx,ARIMA,2128.384097281794,1934.654316224598,0.1190692844679557
NYSE.xlsx,LSTM,3796.1431667030683,3724.0299420910897,0.23281056314972756
NYSE.xlsx,GRU,3253.8620014459525,3183.821005058976,0.19888633588679158
NYSE.xlsx,TCN,3481.425494200725,3415.1332408048056,0.21349491796121486
NYSE.xlsx,RVFL,393.3389347333222,346.26386699469316,0.0214066296891227
NYSE.xlsx,edRVFL,425.86449822702525,376.84542882687174,0.02328062295230526
NYSE.xlsx,edESN,778.9206164088056,696.8468318742675,0.04289539726644219
NYSE.xlsx,VMD-LSTM,3342.1421209360797,3269.697842957554,0.20424165115280807
NYSE.xlsx,EWTRVFL,454.00111047357876,401.261270241229,0.02477352043453591
NYSE.xlsx,EWTedRVFL,455.7767533941007,407.9457250842248,0.025234766497727913
NYSE.xlsx,RedRVFL,177.33812580402258,139.7370767196999,0.008948265994934394
RUSSELL2000.xlsx,Persistence,31.954909859920313,25.63426786019983,0.11801607615021122
RUSSELL2000.xlsx,SVR,43.8942338137001,36.200137288389975,0.017216701351168432
