Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
0,DJI.xlsx,48,1,20,1,0.01,0.7,546.8524955564241,361.09521725701046,0.014376375006309755,0.018069744110107422
0,HSI.xlsx,48,1,20,1,0.01,0.7,362.8812246336069,268.41247572638036,0.010825336554876821,0.014440059661865234
0,KOSPI.xlsx,48,1,20,1,0.01,0.7,36.54761916717053,27.396136663458684,0.012781830578633016,0.014713048934936523
0,LSE.xlsx,48,1,20,1,0.01,0.7,116.37417825206995,80.41785589888413,0.013289134730338659,0.014797687530517578
0,NASDAQ.xlsx,48,1,20,1,0.01,0.7,196.35973520922127,142.97174259680182,0.014870647821667327,0.012834548950195312
0,NIFTY50.xlsx,48,1,20,1,0.01,0.7,202.84764317561596,138.68218333343987,0.01337402632937766,0.016206026077270508
0,NYSE.xlsx,48,1,20,1,0.01,0.7,246.80755703316336,164.45342008248093,0.013953222593959345,0.0103607177734375
0,RUSSELL2000.xlsx,48,1,20,1,0.01,0.7,36.0516739338925,26.003566705583133,0.018411633612140658,0.013349056243896484
0,SENSEX.xlsx,48,1,20,1,0.01,0.7,706.4956731143377,478.92417339118407,0.01360897918784729,0.014667510986328125
0,SP500.xlsx,48,1,20,1,0.01,0.7,60.090397952379696,40.997239192743535,0.013628379538321078,0.012402534484863281
0,SSE.xlsx,48,1,20,1,0.01,0.7,42.12571083301981,29.51692512234023,0.009458662655743511,0.012902021408081055
1,DJI.xlsx,48,1,50,1,0.01,0.7,546.8760668069253,361.2194639146894,0.014380703236534408,0.0369257926940918
1,HSI.xlsx,48,1,50,1,0.01,0.7,362.85898861684615,268.43160950272386,0.010825857446690377,0.02048635482788086
1,KOSPI.xlsx,48,1,50,1,0.01,0.7,36.60378586936768,27.44824443564357,0.012802183601747395,0.019572734832763672
1,LSE.xlsx,48,1,50,1,0.01,0.7,116.37269784643787,80.41843961325311,0.013289205303345004,0.02140331268310547
1,NASDAQ.xlsx,48,1,50,1,0.01,0.7,196.412553538901,143.13643401713898,0.014884863283124557,0.01934671401977539
1,NIFTY50.xlsx,48,1,50,1,0.01,0.7,202.76085826594417,138.50992560623365,0.013361966099902613,0.02301645278930664
1,NYSE.xlsx,48,1,50,1,0.01,0.7,246.79561391579284,164.43911911391433,0.013952353063973022,0.01946115493774414
1,RUSSELL2000.xlsx,48,1,50,1,0.01,0.7,36.06550713529318,26.011850690703426,0.018416162726258106,0.01900196075439453
1,SENSEX.xlsx,48,1,50,1,0.01,0.7,706.3506873686459,478.68249646939785,0.013604054125217601,0.020564556121826172
1,SP500.xlsx,48,1,50,1,0.01,0.7,60.10454468884813,41.00911820600003,0.013632438543448457,0.0178680419921875
1,SSE.xlsx,48,1,50,1,0.01,0.7,42.126719450122835,29.52315323833412,0.009460608161939773,0.01840806007385254
2,DJI.xlsx,48,1,100,1,0.01,0.7,546.7186481920929,361.0545213642655,0.014374534921324325,0.05484890937805176
2,HSI.xlsx,48,1,100,1,0.01,0.7,362.84493767680084,268.43253024777346,0.010825786677527774,0.03795146942138672
2,KOSPI.xlsx,48,1,100,1,0.01,0.7,36.61469448236454,27.456769781263255,0.012805208151179994,0.04824256896972656
2,LSE.xlsx,48,1,100,1,0.01,0.7,116.3707661768042,80.413988445658,0.013288494450281615,0.04930520057678223
2,NASDAQ.xlsx,48,1,100,1,0.01,0.7,196.51572277075525,143.42006358480901,0.014909326591560104,0.042798757553100586
2,NIFTY50.xlsx,48,1,100,1,0.01,0.7,202.66486221566424,138.22225077496321,0.013342035671812769,0.05904722213745117
2,NYSE.xlsx,48,1,100,1,0.01,0.7,246.8208312119605,164.45278026389042,0.013953510221195987,0.04356837272644043
2,RUSSELL2000.xlsx,48,1,100,1,0.01,0.7,36.05845979988275,26.007328382418002,0.01841371534614084,0.043126583099365234
2,SENSEX.xlsx,48,1,100,1,0.01,0.7,706.2167803676518,478.5427738859572,0.01360031847501685,0.04449963569641113
2,SP500.xlsx,48,1,100,1,0.01,0.7,60.09365994459991,41.00296650365237,0.01363025235424496,0.03312277793884277
2,SSE.xlsx,48,1,100,1,0.01,0.7,42.12925867840757,29.53241748032516,0.009463442575660544,0.04025769233703613
3,DJI.xlsx,48,1,200,1,0.01,0.7,546.7658858334757,361.1076937228223,0.014376867158134247,0.10779500007629395
3,HSI.xlsx,48,1,200,1,0.01,0.7,362.81713098079194,268.43248457589596,0.010825773460714089,0.09551763534545898
3,KOSPI.xlsx,48,1,200,1,0.01,0.7,36.60698723587136,27.451778815481973,0.012803488478867388,0.0967411994934082
3,LSE.xlsx,48,1,200,1,0.01,0.7,116.3727835999864,80.41888981729234,0.013289289052769278,0.08213376998901367
3,NASDAQ.xlsx,48,1,200,1,0.01,0.7,196.36024670664963,143.1863068930233,0.014888060729022917,0.09012770652770996
3,NIFTY50.xlsx,48,1,200,1,0.01,0.7,202.64543286658187,138.22452100900162,0.01334116274800527,0.09160113334655762
3,NYSE.xlsx,48,1,200,1,0.01,0.7,246.7982201457612,164.4614915072267,0.01395415886300389,0.0929257869720459
3,RUSSELL2000.xlsx,48,1,200,1,0.01,0.7,36.050418327072485,26.001160841346234,0.018410162815800504,0.08082842826843262
3,SENSEX.xlsx,48,1,200,1,0.01,0.7,706.3384844697163,478.68634733762855,0.01360378067981575,0.09707999229431152
3,SP500.xlsx,48,1,200,1,0.01,0.7,60.07859314288492,40.99471248835514,0.013627258410090997,0.09217166900634766
3,SSE.xlsx,48,1,200,1,0.01,0.7,42.13169305415028,29.536003560563753,0.009464573723591111,0.09915804862976074
