Dataset,arima,persistence,svr,tcn,lstm,gru,rvfl,ewtrvfl,vmd_lstm,edesn,edrvfl,ewtedrvfl,redrvfl
DJI.xlsx,0.07655515774028268,0.007772817900571737,0.03147595863577733,0.04413729463787948,0.07554570877503569,0.09456331267230156,0.00976206861686618,0.009150353514099072,0.06439089338982908,0.008640327175234672,0.008479156096514959,0.010872185066879734,0.008188187302791108
HSI.xlsx,0.2542285523747331,0.012366447561222247,0.019345311221907153,0.019529278247867255,0.08382036767853297,0.15780876634071517,0.012815293146949153,0.016144509229762218,0.1273622497695637,0.013376755792991713,0.01297464646086382,0.01425119083572276,0.012835823759454341
KOSPI.xlsx,0.13058508194897098,0.008261076630223166,0.05809317717348541,0.04049726956927275,0.0890017362167219,0.08287751861632742,0.009052884898179653,0.009326700709164401,0.04753697894415811,0.008767694338324498,0.00863593643557014,0.009130115572898211,0.008653383987317298
LSE.xlsx,0.06195245685257027,0.00652990311472756,0.007063963915284018,0.008473286629250135,0.022900102857865527,0.01740312381843317,0.006762468739584104,0.002567216022077708,0.016365916452233127,0.006739780143089782,0.00682115353440738,0.002261322840338932,0.006825161389284982
NASDAQ.xlsx,0.1045769696477717,0.012369628915362306,0.052964450349468714,0.056066972386397664,0.13408186564488445,0.1690578646792988,0.014844423268506905,0.010723124277926438,0.1390398126852333,0.013636864861448111,0.013572850125278315,0.009566040116117433,0.013000437707598114
NIFTY50.xlsx,0.09792903591974476,0.007688336710460623,0.10487774892021022,0.08873949676394478,0.153259072501817,0.1876306530399645,0.009069639278359349,0.008533587773485375,0.14749219794197047,0.008040031521420203,0.008050584863543882,0.008719741998539587,0.00791007778509963
NYSE.xlsx,0.0651265392255059,0.008300049424909948,0.050195873582906315,0.04801824177086089,0.0709881759106868,0.11212088373109848,0.01366733668929616,0.009861993589141776,0.08522291381115862,0.008956362797266498,0.008704162115179376,0.011277987462232552,0.008605865250459066
RUSSELL2000.xlsx,0.09675753935443082,0.012603592236189705,0.06762124449541057,0.046984121783877855,0.09822169174731327,0.12908740277395825,0.01553520972142045,0.012993364226511893,0.09933268168809768,0.013648703842359826,0.013479091546357206,0.010267010899900241,0.013197822549971426
SENSEX.xlsx,0.09235152966445051,0.007746450066273328,0.09203754850515238,0.08385778821350517,0.14716226527269063,0.18502931337206704,0.009040406250953799,0.004953290335686222,0.14164332654941406,0.008135117524370466,0.008174559620153258,0.006110676215776576,0.007918444057621009
SP500.xlsx,0.08087411348390061,0.009161039278527008,0.03320985697855242,0.057320225404441594,0.10900175509397515,0.1608599326566561,0.010330930387426364,0.005505068169574452,0.11651646763597917,0.009977704194143061,0.00979730283012311,0.011121975372688,0.009561389761333755
SSE.xlsx,0.05713228667946209,0.007485270725255117,0.00981201882431254,0.010115486844689247,0.05657252844857643,0.06911093147519036,0.007922638156483397,0.008470195966549451,0.06895274757190928,0.008167489770203158,0.008124830342161942,0.008183600081366751,0.007935744439601518
