Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
67,DJI.xlsx,48,1,20,7,0.01,0.5,355.96191426875373,270.71892919391746,0.00816883227234015
67,HSI.xlsx,48,1,20,7,0.01,0.5,380.7137632597646,288.76093809185227,0.012700487598681394
67,KOSPI.xlsx,48,1,20,7,0.01,0.5,30.62576241701445,24.0035897297626,0.008667335193586678
67,LSE.xlsx,48,1,20,7,0.01,0.5,67.28217239694929,49.21201511410127,0.006861251292792514
67,NASDAQ.xlsx,48,1,20,7,0.01,0.5,218.98485865687582,167.59675445403437,0.013041808847319153
67,NIFTY50.xlsx,48,1,20,7,0.01,0.5,174.64045258654613,132.21005105912366,0.008002559408625012
67,NYSE.xlsx,48,1,20,7,0.01,0.5,174.75770152230905,134.75432809237682,0.008605801928558593
67,RUSSELL2000.xlsx,48,1,20,7,0.01,0.5,33.15692613904825,26.819006665127848,0.013211715585631938
67,SENSEX.xlsx,48,1,20,7,0.01,0.5,593.3061111702656,448.19588927948024,0.0080931090430009
67,SP500.xlsx,48,1,20,7,0.01,0.5,52.42140629478121,39.63632534089049,0.009599096278718184
67,SSE.xlsx,48,1,20,7,0.01,0.5,34.86464001171122,26.410174034954252,0.007887115376804709
267,DJI.xlsx,48,1,200,3,0.01,0.5,356.0131377875414,270.60929380807715,0.008165927655928466
267,HSI.xlsx,48,1,200,3,0.01,0.5,380.7191199028978,288.7960729277253,0.012702592756602555
267,KOSPI.xlsx,48,1,200,3,0.01,0.5,30.460414018315223,23.92658269794914,0.008639016329009075
267,LSE.xlsx,48,1,200,3,0.01,0.5,67.2663403964273,49.198815469006696,0.006859401810461622
267,NASDAQ.xlsx,48,1,200,3,0.01,0.5,218.1788030458017,167.2195562013276,0.013011200512668266
267,NIFTY50.xlsx,48,1,200,3,0.01,0.5,174.67429202986747,132.32875627678214,0.008009082290089791
267,NYSE.xlsx,48,1,200,3,0.01,0.5,174.81544626968875,134.88302485912573,0.008612638374858227
267,RUSSELL2000.xlsx,48,1,200,3,0.01,0.5,33.11744932998303,26.798092910078193,0.013199649382043195
267,SENSEX.xlsx,48,1,200,3,0.01,0.5,593.3199968742821,448.3070975961532,0.008094913657420707
267,SP500.xlsx,48,1,200,3,0.01,0.5,52.459025476243966,39.62376371766841,0.009597581851466055
267,SSE.xlsx,48,1,200,3,0.01,0.5,34.86339598237452,26.41010274831878,0.007887071704709375
87,DJI.xlsx,48,1,50,1,0.01,0.5,355.98031113575263,270.80984406957856,0.008171388953578836
87,HSI.xlsx,48,1,50,1,0.01,0.5,380.7137136570999,288.7987040973512,0.012702888678438476
87,KOSPI.xlsx,48,1,50,1,0.01,0.5,30.579578543896076,23.980411216730964,0.008659216100988593
87,LSE.xlsx,48,1,50,1,0.01,0.5,67.27122960023446,49.20261429932962,0.006859926705050158
87,NASDAQ.xlsx,48,1,50,1,0.01,0.5,218.33411394043978,167.28612899065484,0.0130166840592273
87,NIFTY50.xlsx,48,1,50,1,0.01,0.5,174.65378250624633,132.2773950760199,0.008006256613138495
87,NYSE.xlsx,48,1,50,1,0.01,0.5,174.82776719545794,134.90564950679322,0.008613838491895136
87,RUSSELL2000.xlsx,48,1,50,1,0.01,0.5,33.12522042680615,26.800136568864023,0.013201294833259703
87,SENSEX.xlsx,48,1,50,1,0.01,0.5,593.427935911963,448.00510798203476,0.008090180469927814
87,SP500.xlsx,48,1,50,1,0.01,0.5,52.423131761305314,39.63304849636564,0.009598447007230079
87,SSE.xlsx,48,1,50,1,0.01,0.5,34.86512600304123,26.411085053990607,0.007887366935009948
127,DJI.xlsx,48,1,50,5,0.01,0.5,355.9867384412133,270.68260671580003,0.008167909799198125
