Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
0,DJI.xlsx,48,1,20,1,0.001,0.1,551.2914784206645,360.3431357742009,0.014340453588736085,0.01696181297302246
0,HSI.xlsx,48,1,20,1,0.001,0.1,360.9651690446151,266.6507045269473,0.010751413112444593,0.013274431228637695
0,KOSPI.xlsx,48,1,20,1,0.001,0.1,37.027065449905365,27.677308429387864,0.012883572291154463,0.01418304443359375
0,LSE.xlsx,48,1,20,1,0.001,0.1,116.04553834851363,79.12783514443502,0.013066211607919155,0.014629602432250977
0,NASDAQ.xlsx,48,1,20,1,0.001,0.1,200.81774152464803,148.28407031437965,0.015357372521373138,0.012013673782348633
0,NIFTY50.xlsx,48,1,20,1,0.001,0.1,205.95901571319183,145.14902197367326,0.013949075805243016,0.01557779312133789
0,NYSE.xlsx,48,1,20,1,0.001,0.1,245.8264858748036,163.165401943911,0.013826016453761834,0.013147830963134766
0,RUSSELL2000.xlsx,48,1,20,1,0.001,0.1,36.23577275262928,25.82957537462609,0.018241368437197435,0.013010740280151367
0,SENSEX.xlsx,48,1,20,1,0.001,0.1,715.0452194345035,501.25929649652966,0.014176361126022465,0.010432004928588867
0,SP500.xlsx,48,1,20,1,0.001,0.1,60.90037868384166,41.40727899970223,0.013738698981967437,0.012411355972290039
0,SSE.xlsx,48,1,20,1,0.001,0.1,42.78015378107446,29.143667530139037,0.009322252251971882,0.012950897216796875
1,DJI.xlsx,48,1,20,1,0.001,0.3,549.3427499850983,363.46884788778635,0.014470108952143077,0.012773752212524414
1,HSI.xlsx,48,1,20,1,0.001,0.3,363.64003624726763,269.06963416102315,0.010851473700456537,0.010578155517578125
1,KOSPI.xlsx,48,1,20,1,0.001,0.3,36.57637640827066,27.432425007077516,0.012798909502068176,0.008798837661743164
1,LSE.xlsx,48,1,20,1,0.001,0.3,116.48522093724117,80.65056084253548,0.013328608589741707,0.012764215469360352
1,NASDAQ.xlsx,48,1,20,1,0.001,0.3,196.98491512303676,143.0949832824943,0.014893267775508883,0.012399435043334961
1,NIFTY50.xlsx,48,1,20,1,0.001,0.3,203.43679680474506,138.22807841497072,0.013361143658575467,0.013250589370727539
1,NYSE.xlsx,48,1,20,1,0.001,0.3,247.57395676343535,165.06869939561366,0.014010840611712408,0.011763334274291992
1,RUSSELL2000.xlsx,48,1,20,1,0.001,0.3,36.1123505799633,26.075591283654106,0.0184677677466059,0.012050390243530273
1,SENSEX.xlsx,48,1,20,1,0.001,0.3,710.7661780702476,479.5202951255296,0.013640028704937208,0.012018203735351562
1,SP500.xlsx,48,1,20,1,0.001,0.3,60.313049806210856,41.13017396913202,0.013674537544916718,0.012144804000854492
1,SSE.xlsx,48,1,20,1,0.001,0.3,42.158465887294845,29.76068304092889,0.009538019877090262,0.013655424118041992
2,DJI.xlsx,48,1,20,1,0.001,0.5,552.5022363675702,366.6400014134895,0.014598029327750681,0.012556076049804688
2,HSI.xlsx,48,1,20,1,0.001,0.5,364.45357660759925,269.72572760409383,0.010878153272884274,0.010268449783325195
2,KOSPI.xlsx,48,1,20,1,0.001,0.5,36.52240330299584,27.39325802605389,0.012787365141265827,0.012226581573486328
2,LSE.xlsx,48,1,20,1,0.001,0.5,116.56062249098171,80.85825463789067,0.013364587201198886,0.012748003005981445
2,NASDAQ.xlsx,48,1,20,1,0.001,0.5,197.66297917076776,142.26516517634528,0.014837327598518335,0.011870622634887695
2,NIFTY50.xlsx,48,1,20,1,0.001,0.5,204.77341407062096,138.85982407839603,0.01343367396948411,0.01272726058959961
2,NYSE.xlsx,48,1,20,1,0.001,0.5,248.33066198208635,165.5726901664666,0.014059714683905414,0.012197017669677734
2,RUSSELL2000.xlsx,48,1,20,1,0.001,0.5,36.16044188357122,26.14118251399401,0.018519414287897044,0.012393951416015625
2,SENSEX.xlsx,48,1,20,1,0.001,0.5,716.3921844056514,481.7911252779624,0.013730196866340144,0.01335000991821289
2,SP500.xlsx,48,1,20,1,0.001,0.5,60.606717881920005,41.19500250601377,0.013704044694257301,0.013092994689941406
2,SSE.xlsx,48,1,20,1,0.001,0.5,42.21361902856938,29.951159242230418,0.009600531876726074,0.010516166687011719
3,DJI.xlsx,48,1,20,1,0.001,0.7,553.5522962388309,367.7086073085784,0.014640120240041363,0.012384176254272461
3,HSI.xlsx,48,1,20,1,0.001,0.7,364.79704965696766,269.9066458663683,0.010886215074145902,0.0108184814453125
3,KOSPI.xlsx,48,1,20,1,0.001,0.7,36.39862206878242,27.31998956783089,0.012760817652655866,0.012327432632446289
3,LSE.xlsx,48,1,20,1,0.001,0.7,116.58484572933305,80.89644805940216,0.01337153802131205,0.009800195693969727
3,NASDAQ.xlsx,48,1,20,1,0.001,0.7,197.8624060760836,141.4846097379326,0.014773117390595957,0.012476682662963867
3,NIFTY50.xlsx,48,1,20,1,0.001,0.7,205.47021036239204,139.43261233798677,0.013484896421127296,0.012836933135986328
3,NYSE.xlsx,48,1,20,1,0.001,0.7,248.56160751411423,165.7837457795092,0.014078668043000996,0.01189422607421875
3,RUSSELL2000.xlsx,48,1,20,1,0.001,0.7,36.183083782791726,26.164042095769847,0.01853703470016908,0.011883020401000977
3,SENSEX.xlsx,48,1,20,1,0.001,0.7,718.7973921498979,483.2258959576335,0.013778444404840958,0.012694358825683594
3,SP500.xlsx,48,1,20,1,0.001,0.7,60.76027733700608,41.269851476749835,0.013730629659052761,0.008997201919555664
3,SSE.xlsx,48,1,20,1,0.001,0.7,42.24133479873551,30.01744019021545,0.009622160393645978,0.012451887130737305
4,DJI.xlsx,48,1,20,1,0.001,1.0,554.2044755959993,368.4244447617152,0.014667854125404368,0.012593269348144531
4,HSI.xlsx,48,1,20,1,0.001,1.0,364.9163700547498,270.0234163069974,0.010890888205276544,0.010154247283935547
4,KOSPI.xlsx,48,1,20,1,0.001,1.0,36.312448454252085,27.268245958492525,0.012741513356797898,0.012964248657226562
4,LSE.xlsx,48,1,20,1,0.001,1.0,116.59200768913757,80.90654125105927,0.013373567010130694,0.011992216110229492
4,NASDAQ.xlsx,48,1,20,1,0.001,1.0,198.17841193194977,141.5829631548603,0.01478729213244425,0.012991189956665039
4,NIFTY50.xlsx,48,1,20,1,0.001,1.0,205.73905424837864,139.59403903830673,0.013501297150765132,0.013999223709106445
4,NYSE.xlsx,48,1,20,1,0.001,1.0,248.68732395068096,165.82255438562592,0.0140851550086569,0.012022018432617188
4,RUSSELL2000.xlsx,48,1,20,1,0.001,1.0,36.231053490278086,26.20790388285517,0.01856166011331507,0.01267862319946289
4,SENSEX.xlsx,48,1,20,1,0.001,1.0,720.042591630497,484.48929045719797,0.013813536932640827,0.013168811798095703
4,SP500.xlsx,48,1,20,1,0.001,1.0,60.83799850609649,41.20947746169088,0.013715771247060677,0.011521577835083008
4,SSE.xlsx,48,1,20,1,0.001,1.0,42.259600306592475,30.04369739825559,0.009631409011123823,0.012209415435791016
5,DJI.xlsx,48,1,20,1,0.01,0.1,691.889095578653,453.65301222213674,0.018085322176603497,0.012779951095581055
5,HSI.xlsx,48,1,20,1,0.01,0.1,398.7715346051127,304.7469176938037,0.01224886622352721,0.00997471809387207
5,KOSPI.xlsx,48,1,20,1,0.01,0.1,43.77475888091605,32.94980655597983,0.015205294753595175,0.01315760612487793
5,LSE.xlsx,48,1,20,1,0.01,0.1,125.51800134809558,84.65017507169327,0.013990885737710075,0.008865118026733398
5,NASDAQ.xlsx,48,1,20,1,0.01,0.1,255.44970674921294,196.5151481506048,0.02032666314491713,0.012084484100341797
5,NIFTY50.xlsx,48,1,20,1,0.01,0.1,272.5458670284665,195.41747017679958,0.018583151490822444,0.013504266738891602
5,NYSE.xlsx,48,1,20,1,0.01,0.1,286.0179055560774,188.80468478880698,0.015951157686537883,0.012586593627929688
5,RUSSELL2000.xlsx,48,1,20,1,0.01,0.1,42.82014136752281,30.44119125104448,0.02124644051791193,0.012558698654174805
5,SENSEX.xlsx,48,1,20,1,0.01,0.1,947.5412359706257,674.6356141902038,0.018865995674504674,0.012050867080688477
5,SP500.xlsx,48,1,20,1,0.01,0.1,77.08827279692673,53.15681200139106,0.01759989304565924,0.011176824569702148
5,SSE.xlsx,48,1,20,1,0.01,0.1,50.84498473051851,35.519028570277946,0.011340821447944266,0.0120697021484375
6,DJI.xlsx,48,1,20,1,0.01,0.3,553.220868412623,361.547792380082,0.014385937770311233,0.01239919662475586
6,HSI.xlsx,48,1,20,1,0.01,0.3,361.1046978098333,266.6836796469437,0.010752530649819774,0.0111236572265625
6,KOSPI.xlsx,48,1,20,1,0.01,0.3,37.09951695831509,27.726321641876748,0.01290404123010719,0.011426925659179688
6,LSE.xlsx,48,1,20,1,0.01,0.3,116.06229597337428,79.05592366688897,0.013053041652987925,0.011998891830444336
6,NASDAQ.xlsx,48,1,20,1,0.01,0.3,201.85714323045602,149.1702285575795,0.015442316242189058,0.01273965835571289
6,NIFTY50.xlsx,48,1,20,1,0.01,0.3,206.88423584215562,146.17620218187756,0.01404388079739195,0.013355493545532227
6,NYSE.xlsx,48,1,20,1,0.01,0.3,246.05667070386815,163.24593754195215,0.013830339589284663,0.012320280075073242
6,RUSSELL2000.xlsx,48,1,20,1,0.01,0.3,36.310523201232954,25.841595644811953,0.01824221784499642,0.012436151504516602
6,SENSEX.xlsx,48,1,20,1,0.01,0.3,718.5285349678304,505.30232049294244,0.014285348146354324,0.013213396072387695
6,SP500.xlsx,48,1,20,1,0.01,0.3,61.13847086636749,41.57146857370484,0.013788706610219163,0.013402223587036133
6,SSE.xlsx,48,1,20,1,0.01,0.3,42.90812273852915,29.221546373061695,0.00934641607150045,0.0122833251953125
7,DJI.xlsx,48,1,20,1,0.01,0.5,545.125755584587,359.32026308536337,0.014302668919198985,0.009591341018676758
7,HSI.xlsx,48,1,20,1,0.01,0.5,361.6869684384522,267.5894984533729,0.010791188155632,0.010231494903564453
7,KOSPI.xlsx,48,1,20,1,0.01,0.5,36.658111165322346,27.47437468922459,0.012808179883252595,0.012416601181030273
7,LSE.xlsx,48,1,20,1,0.01,0.5,116.1884235715433,79.96025673782282,0.013211022306456587,0.012356281280517578
7,NASDAQ.xlsx,48,1,20,1,0.01,0.5,196.91756167905356,144.56110207857574,0.015002466713828398,0.013196945190429688
7,NIFTY50.xlsx,48,1,20,1,0.01,0.5,202.2745803282883,139.192783592801,0.013407259124071107,0.012355327606201172
7,NYSE.xlsx,48,1,20,1,0.01,0.5,245.84487373309216,163.75830210882387,0.013888108889049181,0.011699676513671875
7,RUSSELL2000.xlsx,48,1,20,1,0.01,0.5,36.01894341984329,25.91436582413673,0.01833624073196787,0.011918067932128906
7,SENSEX.xlsx,48,1,20,1,0.01,0.5,704.0599926146535,482.0802086712277,0.013662881470744967,0.01274728775024414
7,SP500.xlsx,48,1,20,1,0.01,0.5,59.98400068513815,40.9008523061006,0.01358996821960236,0.012433052062988281
7,SSE.xlsx,48,1,20,1,0.01,0.5,42.193130604175856,29.243337180073162,0.009366925419134331,0.011757373809814453
8,DJI.xlsx,48,1,20,1,0.01,0.7,546.7935407629707,361.4095195204519,0.01438638548588844,0.012414932250976562
8,HSI.xlsx,48,1,20,1,0.01,0.7,362.87579040065583,268.41509272495887,0.010825354454286028,0.010272026062011719
8,KOSPI.xlsx,48,1,20,1,0.01,0.7,36.548398420002556,27.39811963470232,0.012782935455529046,0.012580633163452148
