Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
67,48,1,20,7,0.01,0.5,231.48894165485606,159.83516416993993,0.013482361755671983,0.11049693281000307
267,48,1,200,3,0.01,0.5,231.494900071224,159.8830136880633,0.013482894740193546,0.4623023813421076
87,48,1,50,1,0.01,0.5,231.4989889013026,159.89977897811988,0.0134821254557717,0.02300591902299356
127,48,1,50,5,0.01,0.5,231.49913615694643,159.88888519892282,0.01348394295692771,0.13719034194946286
47,48,1,20,5,0.01,0.5,231.5003387260802,159.87779220751963,0.013481061853395681,0.0759957053444602
187,48,1,100,3,0.01,0.5,231.5024442128208,159.89015629434428,0.013483663610656282,0.20210654085332694
307,48,1,200,7,0.01,0.5,231.50331406557606,159.89148548690798,0.013483924863491674,1.1257808641953901
227,48,1,100,7,0.01,0.5,231.5070213642278,159.90160245539113,0.01348422576083602,0.3657908656380393
247,48,1,200,1,0.01,0.5,231.5088735389913,159.89276557052355,0.013483878291286465,0.06950179013338952
287,48,1,200,5,0.01,0.5,231.50936579709344,159.90175053274533,0.013484529296911955,0.8336679935455322
