Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
0,48,1,20,1,0.001,0.1,233.90948538092877,162.53823508193636,0.013602875161121837,0.014705419540405235
1,48,1,20,1,0.001,0.3,233.01757060917024,160.2448357754538,0.01354708514373549,0.012775767933238591
2,48,1,20,1,0.001,0.5,234.20084773841836,160.96042383643564,0.013594510051162063,0.01213726130398831
3,48,1,20,1,0.001,0.7,234.65923437528784,161.2746343431772,0.013611939622919263,0.013601714914495255
4,48,1,20,1,0.001,0.1,233.86503656697593,162.49513732665176,0.013601203919252127,0.0126252174377441
5,48,1,20,1,0.01,0.1,290.12404763971,204.52135168551024,0.016676560360193944,0.01315973021767352
6,48,1,20,1,0.01,0.3,234.59177074236396,163.14666020605696,0.01363786626694668,0.013065901669588901
7,48,1,20,1,0.01,0.5,231.53316839189404,159.9696052787591,0.013489584201331282,0.012987852096557563
8,48,1,20,1,0.01,0.7,232.14632013913078,159.96544876613441,0.013508373802822599,0.012677214362404517
9,48,1,20,1,0.01,0.1,290.26860045605156,204.6439244891727,0.01668397440546759,0.012899030338634099
10,48,1,20,1,0.1,0.1,481.46093190691323,332.4245651173617,0.026756477850831992,0.012872977690263172
11,48,1,20,1,0.1,0.3,295.819135886047,208.4760922830593,0.016974669323954653,0.012327410958029972
12,48,1,20,1,0.1,0.5,255.3659656744179,179.3842353380508,0.014771297826473863,0.012792608954689672
13,48,1,20,1,0.1,0.7,241.3288521055584,168.53684080977652,0.013988350996579873,0.01318788528442379
14,48,1,20,1,0.1,0.1,481.4763002533773,332.4407675925244,0.026749612471187015,0.013794227079911618
15,48,1,20,1,1.0,0.1,804.6850553740489,582.8172360008481,0.04723031235592304,0.01311939412897279
16,48,1,20,1,1.0,0.3,494.78445193721524,341.62608022482596,0.027479580931788726,0.012114069678566618
17,48,1,20,1,1.0,0.5,385.26092395415077,268.08739772081753,0.02164632169905613,0.012640866366299673
18,48,1,20,1,1.0,0.7,332.3218711831774,233.53778566551875,0.018925836790536082,0.012096968564120155
19,48,1,20,1,1.0,0.1,804.2444098367909,582.4877452947657,0.047186514680539776,0.010757576335560145
20,48,1,20,3,0.001,0.1,233.86798064526508,162.5060528078415,0.0136023326256996,0.04097871346907176
21,48,1,20,3,0.001,0.3,233.01341650678916,160.21726415304732,0.013544664622452783,0.037817781621759534
22,48,1,20,3,0.001,0.5,234.18238957031807,160.9404481691494,0.013593837198943026,0.04215407371520991
23,48,1,20,3,0.001,0.7,234.6465802486988,161.29275334080555,0.01361108825220601,0.03865025260231708
24,48,1,20,3,0.001,0.1,233.89037340437392,162.53537926906708,0.013604072073283645,0.03588691624728111
25,48,1,20,3,0.01,0.1,290.1517915694704,204.55295606682364,0.016677382240143063,0.03712794997475358
26,48,1,20,3,0.01,0.3,234.6196001962776,163.17441605437782,0.013639223427739737,0.03355585445057258
