Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
107,48,1,50,3,0.01,0.5,231.48539413324244,159.86829056966386,0.013481522786420001,0.07737142389470876
267,48,1,200,3,0.01,0.5,231.48903895224956,159.8734098498862,0.013482936422196935,0.36395855383439496
227,48,1,100,7,0.01,0.5,231.50079257639837,159.88092590717145,0.013483373296601164,0.3567914746024392
307,48,1,200,7,0.01,0.5,231.5026774089888,159.88828713539854,0.013483392661009773,0.9093177535317161
247,48,1,200,1,0.01,0.5,231.50302123761648,159.90207329392192,0.01348407535028982,0.0712684718045321
207,48,1,100,5,0.01,0.5,231.5049236365558,159.8949463185056,0.013483674676880254,0.2905235290527343
147,48,1,50,7,0.01,0.5,231.5075042816132,159.89883379666614,0.013484600750923299,0.16476570476185187
167,48,1,100,1,0.01,0.5,231.51035824796537,159.90058315050385,0.013482593384942565,0.03671737150712442
87,48,1,50,1,0.01,0.5,231.51124959785002,159.90713953058264,0.013485440295207518,0.019207369197498617
127,48,1,50,5,0.01,0.5,231.51199154508578,159.92138004676224,0.013484258409806209,0.12919909303838553
