Dataset,arima,persistence,svr,tcn,lstm,gru,rvfl,ewtrvfl,vmd_lstm,edesn,edrvfl,ewtedrvfl,redrvfl
DJI.xlsx,2993.580596729498,343.6236634811373,1239.0511980393821,1664.4016077857327,2779.970914934701,3397.851656804853,405.97825789587256,351.1841990819788,2413.078982507149,366.50214499135353,366.9234573685104,451.5826659126654,355.78715216213504
HSI.xlsx,6369.214538467905,371.5503423637159,543.889764864744,569.5413834254156,2041.5627139003052,3947.5050127363183,379.23736767798255,469.43830226278584,3190.276582836212,392.52388733749,381.3070876643854,416.39864886947544,380.2811985260789
KOSPI.xlsx,422.1179635490598,28.655307745465326,236.9157737484338,143.8758122649107,334.97706407574753,304.9416461410953,31.97020086692944,32.6438034425604,184.37944307359317,30.215421225896343,30.25423449548485,31.888073688372195,29.748669341455138
LSE.xlsx,511.543483858394,65.68169822518401,71.19781150534716,79.68306406882836,205.2533404106237,151.9992444304751,66.88649160748287,24.006632816034347,143.25447491472127,66.51531936821603,67.13675269067848,21.074188414091992,67.06572188427923
NASDAQ.xlsx,1576.7291601230293,208.17778750612928,868.4419580557957,970.1077582945371,2194.2071441857333,2572.141774531558,256.1781813553988,176.93777742448677,2210.799964817171,229.86866040775695,230.2170782228657,165.0385999223252,218.74612916933958
NIFTY50.xlsx,1964.270145273995,168.16069433203543,2036.3179116220558,1653.3003704219159,2752.966336376777,3293.3548654730075,194.4464479676794,183.85064914595307,2654.4945308734664,175.6880406342552,175.77819616222325,190.23795267452053,173.3540900511202
NYSE.xlsx,1242.0506559733835,169.22752918463294,961.8383609769048,872.3602819118911,1282.862608987478,1917.7730449695794,258.9905351760207,196.28381042976915,1490.5470061966466,180.04841790143624,176.85012509178367,218.7975876195238,174.63247760743823
RUSSELL2000.xlsx,216.8834353481913,31.84938384475516,179.723000389177,124.22662795603425,253.44671052742834,312.0555195331375,39.176741119565854,32.60552337567015,250.3072643170983,34.16585778466517,33.643739018598744,25.499318262238333,33.04682780650382
SENSEX.xlsx,6277.274225555311,568.6077529957289,6090.803573415831,5286.843730756686,8914.681923628648,10898.575633801129,648.6038190788545,358.90931223584926,8591.576881434363,592.1210383199973,599.0821991667107,406.374914928587,580.3709076625818
SP500.xlsx,435.29495793414844,50.41168959725199,177.0031071012725,287.02763711012517,514.0962357860626,716.8787756348399,54.12792119642088,28.92099029609108,537.7991283252961,53.959122085470895,54.025853918664204,61.837768098964936,52.447566611310556
SSE.xlsx,239.3058945198781,33.519387426333566,44.245028248143804,45.32753745265314,226.59388957581731,276.5344899907713,35.01069851714447,37.03270827766628,260.16748138451027,35.85085527534245,35.40623299947225,35.99776091988423,35.036122471521715
