Dataset,RMSE,MAE,MAPE
DJI.xlsx,372.13621365822,285.64890591937876,0.00862236256763437
HSI.xlsx,382.5049614459747,292.108162049921,0.01296116803748196
KOSPI.xlsx,30.42079701098759,24.11195271025084,0.008760887708520813
LSE.xlsx,68.87454194961074,50.488091218998335,0.007035700892226368
NASDAQ.xlsx,243.55293355467603,187.9031701843162,0.014656589611532716
NIFTY50.xlsx,181.31686414423496,140.04386150142392,0.008412764229199352
NYSE.xlsx,179.12206890012573,139.45742013248827,0.00891036121057207
RUSSELL2000.xlsx,33.94123140948393,27.70832004801364,0.013672698700446935
SENSEX.xlsx,613.3858475645321,472.964876500049,0.008481798539402638
SP500.xlsx,56.01320851185169,43.2644798744778,0.010473602724888086
SSE.xlsx,35.940405340300764,27.29962774256691,0.008164867867305787
